study_id,instance,3hb_ratio_mol,3ho_ratio_mol,3hdd_ratio_mol,3httd_ratio_mol,unsaturated_monomer_ratio_mol,uknown_monomer_ratio_mol,additive1_percentage_wt,additive1_type,final_pha_percentage_wt,frequency_experimental_fixed_hz,temperature,storage_modulus,log_storage_modulus
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-25.0,468.81338214526505,2.671
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-25.0,449.7798548932885,2.6530000000000005
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-15.0,293.08932452503274,2.467000000000001
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-15.0,306.9021988391164,2.487000000000001
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-5.0,273.52687263067094,2.4369999999999994
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-5.0,258.82129151531007,2.4130000000000016
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,5.0,241.5460834444941,2.383
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,5.0,232.80912576650155,2.3670000000000013
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,15.0,231.73946499684828,2.3650000000000007
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,15.0,213.79620895022364,2.330000000000001
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,25.0,219.2804935350447,2.3409999999999997
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,25.0,200.9092812608737,2.303000000000002
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,35.0,222.33098906514027,2.347
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,35.0,186.2087136662866,2.2699999999999996
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,45.0,219.2804935350447,2.3409999999999997
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,45.0,148.93610777109186,2.173000000000001
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,55.0,207.49135174549176,2.3170000000000015
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,65.0,193.64219639466148,2.2870000000000017
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,75.0,176.19760464116357,2.2460000000000018
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-123.0,3318.9445755261113,3.521000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-123.0,2999.162518987661,3.4770000000000016
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-115.0,3228.4941217126493,3.5090000000000017
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-115.0,2773.3201046518425,3.4430000000000005
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-105.0,3054.9211132155183,3.4850000000000008
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-105.0,2798.9813196343625,3.447
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-95.0,3097.4192992165877,3.491000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-95.0,2818.38293126446,3.450000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-85.0,3013.0060241861247,3.4790000000000005
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-85.0,2648.5001386067033,3.4230000000000005
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-75.0,2930.8932452503304,3.4670000000000014
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-75.0,2630.267991895388,3.420000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-65.0,2851.0182675039155,3.455000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-65.0,2529.2979964461565,3.4030000000000022
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-55.0,2660.725059798816,3.425000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-55.0,2415.4608344449434,3.3830000000000005
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-45.0,2517.6769277588637,3.4010000000000016
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-45.0,2202.9264630534603,3.343000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-35.0,1555.9656316050782,3.192000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-35.0,1513.56124843621,3.1800000000000006
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-25.0,727.7798045368255,2.862000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-25.0,818.4647881347918,2.913000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-15.0,599.7910762555115,2.7780000000000014
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-15.0,635.3309318517457,2.8030000000000013
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-5.0,538.2697825162898,2.731000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,-5.0,575.4399373371579,2.7600000000000007
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,5.0,523.6004365857509,2.7190000000000007
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,5.0,533.3348954876227,2.727000000000001
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,15.0,488.65235934283436,2.6890000000000005
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,15.0,493.17380395493626,2.6930000000000005
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,25.0,481.94779762512775,2.6830000000000003
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,25.0,460.2565735813565,2.6630000000000003
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,35.0,475.33522594280544,2.677
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,35.0,419.75898399100817,2.6230000000000007
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,45.0,462.3810213992598,2.6649999999999996
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,45.0,371.5352290971738,2.5700000000000016
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,55.0,456.036915951297,2.6590000000000007
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,65.0,437.52210515825357,2.6410000000000013
3,4,0.0,86.0,0,0,0,14,6.0,reinforcment_and_stiffening_modifiers,94.0,1.0,75.0,413.99967481973226,2.6170000000000018
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,100.0,271.104,2.4331359254193345
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,105.0,66.449,1.8224884495714555
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,110.0,46.882,1.6710061305364081
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,115.0,34.177,1.5337339384131994
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,120.0,26.89,1.4295908022233017
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,125.0,20.034,1.3017676694380143
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,130.0,16.11,1.207095540419218
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,135.0,13.385,1.1266183755229515
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,140.0,10.647,1.0272272540672553
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,145.0,8.561,0.9325244970505423
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,150.0,6.174,0.7905666251460766
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,155.0,4.262,0.6296134453781831
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,160.0,3.465,0.5397032389478256
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,165.0,2.61,0.41664050733828095
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,170.0,1.669,0.22245633667924672
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,175.0,1.313,0.11826472608947933
7,1,72.9,0.0,0,0,0,0,0.0,no_additive,100.0,1.0,180.0,1.079,0.033021444682910656
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,-95.0,1595879.147236737,6.203000000000001
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,-75.0,1475706.5332759002,6.169000000000001
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,-55.0,1399587.3225726257,6.146000000000003
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,-35.0,944060.876285926,5.975000000000001
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,-15.0,417830.3666466232,5.621000000000001
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,5.0,247172.41450161385,5.393000000000002
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,25.0,190107.82799233033,5.279000000000001
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,45.0,142232.87871228228,5.153000000000001
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,65.0,84139.51416451999,4.9250000000000025
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,85.0,77624.71166286938,4.8900000000000015
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,105.0,64714.26157485835,4.811
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,125.0,55207.74392807604,4.742000000000003
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,145.0,36224.29984166991,4.559
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,165.0,16032.453906900446,4.205000000000001
9,4,0.0,86.0,0,0,0,14,50.0,reinforcment_and_stiffening_modifiers,50.0,1.0,175.0,1099.0058394325245,3.0410000000000013
9,5,0.0,86.0,0,0,0,14,20.0,reinforcment_and_stiffening_modifiers,80.0,1.0,-95.0,138675.58288718906,5.142
9,5,0.0,86.0,0,0,0,14,20.0,reinforcment_and_stiffening_modifiers,80.0,1.0,-75.0,121338.88504649773,5.084
9,5,0.0,86.0,0,0,0,14,20.0,reinforcment_and_stiffening_modifiers,80.0,1.0,-55.0,103752.84158180146,5.016000000000001
9,5,0.0,86.0,0,0,0,14,20.0,reinforcment_and_stiffening_modifiers,80.0,1.0,-35.0,62950.618285719924,4.799000000000001
9,5,0.0,86.0,0,0,0,14,20.0,reinforcment_and_stiffening_modifiers,80.0,1.0,-15.0,2177.709772353163,3.338000000000001
9,5,0.0,86.0,0,0,0,14,20.0,reinforcment_and_stiffening_modifiers,80.0,1.0,5.0,1428.8939585111048,3.1550000000000007
9,5,0.0,86.0,0,0,0,14,20.0,reinforcment_and_stiffening_modifiers,80.0,1.0,25.0,845.2788451602911,2.9270000000000005
9,5,0.0,86.0,0,0,0,14,20.0,reinforcment_and_stiffening_modifiers,80.0,1.0,45.0,474.2419852602461,2.6760000000000015
9,5,0.0,86.0,0,0,0,14,20.0,reinforcment_and_stiffening_modifiers,80.0,1.0,55.0,12.274392311584105,1.089000000000001
9,6,0.0,86.0,0,0,0,14,10.0,reinforcment_and_stiffening_modifiers,90.0,1.0,-95.0,26424.087573219593,4.422000000000002
9,6,0.0,86.0,0,0,0,14,10.0,reinforcment_and_stiffening_modifiers,90.0,1.0,-75.0,25118.864315095892,4.400000000000001
9,6,0.0,86.0,0,0,0,14,10.0,reinforcment_and_stiffening_modifiers,90.0,1.0,-55.0,23173.94649968488,4.365000000000002
9,6,0.0,86.0,0,0,0,14,10.0,reinforcment_and_stiffening_modifiers,90.0,1.0,-35.0,14454.397707459311,4.160000000000001
