ang_frequency,study_id,instance,mw_phbv,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,hb_ratio_mol,texp,strain_fixed,complex_viscosity,log_complex_viscosity,log_ang_frequency,log_mw
77.5107076927516,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,171.837936006785,2.2351190476190466,1.8893617021276596,5.07139959899491
99.0249611863506,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,157.730858339097,2.197916666666666,1.9957446808510635,5.07139959899491
129.014432943116,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,155.051577983262,2.1904761904761894,2.110638297872339,5.07139959899491
163.217212856327,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,142.322580510777,2.1532738095238093,2.2127659574468073,5.07139959899491
212.647153918981,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,124.093776075171,2.0937499999999964,2.3276595744680852,5.07139959899491
277.046833961359,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,111.971408907037,2.0491071428571423,2.4425531914893615,5.07139959899491
364.50385657305,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,101.033241224217,2.0044642857142825,2.5617021276595744,5.07139959899491
465.677340897209,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,85.1254702016064,1.9300595238095237,2.6680851063829785,5.07139959899491
594.933035452358,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,71.7223914549386,1.8556547619047619,2.774468085106383,5.07139959899491
0.102983099197286,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,13335.2143216332,4.124999999999999,-0.9872340425531951,5.07139959899491
0.129014432943116,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,13335.2143216332,4.124999999999999,-0.8893617021276612,5.07139959899491
0.166447239076338,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,11828.1457301526,4.072916666666663,-0.7787234042553216,5.07139959899491
0.218990629460591,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,10138.0021958166,4.005952380952379,-0.6595744680851073,5.07139959899491
0.279774746328854,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,8689.36609906447,3.9389880952380945,-0.553191489361703,5.07139959899491
0.360949802494214,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,7196.85673001151,3.8571428571428563,-0.442553191489362,5.07139959899491
0.452188120698428,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,6168.48583001798,3.790178571428571,-0.3446808510638298,5.07139959899491
0.60670660559262,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,5108.96977450692,3.7083333333333326,-0.21702127659574497,5.07139959899491
0.775107076927515,6,2,117869.0,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,100.0,175.0,1.0,4231.43910452157,3.626488095238094,-0.11063829787234089,5.07139959899491
